Name                                      Null?    Type
 ----------------------------------------- -------- ----------------------------
 GUEST_DEPOSIT_ENABLED                              NUMBER(1)
 GUEST_DEPOSIT_ON                                   NUMBER(1)
 PERSONAL_OPERATOR_NUM_ENABLED                      NUMBER(1)
 SKIP_TUI_PASSWORD_ON                               NUMBER(1)
 TUI_MESSAGING_ENABLED                              NUMBER(1)
 TUI_CALL_RETURN_ENABLED                            NUMBER(1)
 LIVE_OPERATOR_NUMBER_ENABLED                       NUMBER(1)
 TUI_SELF_PROV_ENABLED                              NUMBER(1)
 TUI_MAILBOX_ACCESS_ENABLED                         NUMBER(1)
 NOTIF_ON                                           NUMBER(1)
 MWI_DEACTIVATION_TRIGGER                           VARCHAR2(100)
 ALTERNATE_NOTIF_PHONE                              VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE1                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE2                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE3                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE4                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE5                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE6                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE7                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE8                             VARCHAR2(20)
 ALTERNATE_NOTIF_PHONE9                             VARCHAR2(20)
 METHODS_ALLOWED                                    VARCHAR2(2000)
 MAILING_LISTS_ENTRIES_LIMIT                        NUMBER(5)
 MAILING_LISTS_NUM_LIMIT                            NUMBER(5)
 STANDARD_GREETING_TYPE                             VARCHAR2(20)
 STANDARD_GREETING_ON                               NUMBER(1)
 USER_VOICEFILES_URL                                VARCHAR2(100)
 ICON_TYPES_ALLOWED                                 VARCHAR2(100)
 MIGRATION_STATE                                    VARCHAR2(20)
 PERSONAL_REMINDER_ENABLED                          NUMBER(1)
 EMAIL_MESSAGE_ENABLED                              NUMBER(1)
 PERSONAL_REMINDER_TIME_LIMIT                       NUMBER(5)
 PERSONAL_REMINDER_SIZE_LIMIT                       NUMBER(5)
 MESSAGING_FUD_ENABLED                              NUMBER(1)
 MESSAGING_FUD_TIME_LIMIT                           NUMBER(5)
 ARCHIVING_ENABLED                                  NUMBER(1)
 WHC_ENABLED                                        NUMBER(1)
 VW_ON                                              NUMBER(1)
 VW_ENABLED                                         NUMBER(1)
 PERSONAL_CUSTOM1                                   VARCHAR2(500)
 PERSONAL_CUSTOM2                                   VARCHAR2(500)
 PERSONAL_CUSTOM3                                   VARCHAR2(500)
 PERSONAL_CUSTOM4                                   VARCHAR2(500)
 PERSONAL_CUSTOM5                                   VARCHAR2(500)
 PERSONAL_CUSTOM6                                   VARCHAR2(500)
 PERSONAL_CUSTOM7                                   VARCHAR2(500)
 PERSONAL_CUSTOM8                                   VARCHAR2(500)
 PERSONAL_CUSTOM9                                   VARCHAR2(500)
 PERSONAL_CUSTOM10                                  VARCHAR2(500)
 CALL_FORWARD_RRID                                  VARCHAR2(5)
 CALL_FORWARD_TRID                                  VARCHAR2(5)
 RETURN_READ_RECEIPT                                VARCHAR2(20)
 CUSTOM1                                            VARCHAR2(500)
 CUSTOM2                                            VARCHAR2(500)
 CUSTOM3                                            VARCHAR2(500)
 CUSTOM4                                            VARCHAR2(500)
 CUSTOM5                                            VARCHAR2(500)
 CUSTOM6                                            VARCHAR2(500)
 CUSTOM7                                            VARCHAR2(500)
 CUSTOM8                                            VARCHAR2(500)
 CUSTOM9                                            VARCHAR2(500)
 CUSTOM10                                           VARCHAR2(500)
 CUSTOM11                                           VARCHAR2(500)
 CUSTOM12                                           VARCHAR2(500)
 CUSTOM13                                           VARCHAR2(500)
 CUSTOM14                                           VARCHAR2(500)
 CUSTOM15                                           VARCHAR2(500)
 CUSTOM16                                           VARCHAR2(500)
 CUSTOM17                                           VARCHAR2(500)
 CUSTOM18                                           VARCHAR2(500)
 CUSTOM19                                           VARCHAR2(500)
 CUSTOM20                                           VARCHAR2(500)
 OC_NOTIF_MB_FULL_MAIN_RRID                         VARCHAR2(5)
 OC_NOTIF_MB_FULL_MAIN_TRID                         VARCHAR2(5)
 OC_NOTIF_UNREAD_MAIN_RRID                          VARCHAR2(5)
 OC_NOTIF_UNREAD_MAIN_TRID                          VARCHAR2(5)
 SMS_TEMPLATE_ID                                    VARCHAR2(20)
 ACTIVITY_STATUS                                    VARCHAR2(20)
 INACTIVITY_TIME_LIMIT                              NUMBER(5)
 BLOCK_REASON                                       VARCHAR2(20)
 CLI_2ME_ENABLED                                    NUMBER(1)
 SMSC_ROUTING_RULE_ID                               VARCHAR2(20)
 SMS_BILLING_TYPE                                   VARCHAR2(20)
 MESSAGING_TO_PHONE_ENABLED                         NUMBER(1)
 VS_REMINDER_NUM_LIMIT                              NUMBER(5)
 PERSONAL_GREETING_REMINDER_NUM                     NUMBER(5)
 INTER_GREETING_REMINDER_NUM                        NUMBER(5)
 GREETING_REMINDER_START_TIME                       DATE
 GREETING_REMINDER_END_TIME                         DATE
 CR_EXPLICIT_RRID                                   VARCHAR2(5)
 CR_EXPLICIT_TRID                                   VARCHAR2(5)
 FAX_PRINT_EXPLICIT_RRID                            VARCHAR2(5)
 FAX_PRINT_EXPLICIT_TRID                            VARCHAR2(5)
 FAX_PRINT_ID_RRID                                  VARCHAR2(5)
 FAX_PRINT_ID_TRID                                  VARCHAR2(5)
 MESSAGING_TO_PHONE_RRID                            VARCHAR2(5)
 MESSAGING_TO_PHONE_TRID                            VARCHAR2(5)
 WHC_ON                                             NUMBER(1)
 FAX_AUTOTRANSFER_NUMBER                            VARCHAR2(20)
 VDO_MESSAGE_ENABLED                                NUMBER(1)
 VDO_MESSAGE_SIZE_LIMIT                             NUMBER(5)
 GMAIL3_ENABLED                                     NUMBER(1)
 FAX_PRINT_ONLINE_ENABLED                           NUMBER(1)
 VDO_TUI_ACCESS_ENABLED                             NUMBER(1)
 VDO_TUI_NUT_ENABLED                                NUMBER(1)
 VDO_TUI_NUT_WATCHED                                NUMBER(1)
 VDO_TUI_NUT_POSTPONED_COUNT                        NUMBER(2)
 GUEST_EDIT_ENABLED                                 NUMBER(1)
 LANGUAGE_SELF_PROV_ENABLED                         NUMBER(1)
 ANNOUNCEMENT_MOD_SELFP_ENABLED                     NUMBER(1)
 ALT_NOTIF_PHONE_SELFP_ENABLED                      NUMBER(1)
 NEW_MESSAGES_QUEUE_ORDER                           VARCHAR2(10)
 PLAYED_MESSAGES_QUEUE_ORDER                        VARCHAR2(10)
 DEFAULT_MESSAGES_ORDER                             VARCHAR2(10)
 PURGE_WARNING_ENABLED                              NUMBER(1)
 AMTE_DESTINATIONS                                  VARCHAR2(1000)
 AMTE_ENABLED                                       NUMBER(1)
 AMTE_ON                                            NUMBER(1)
 AMTE_MESSAGE_TYPES                                 VARCHAR2(100)
 LANGUAGE_FLAVOR                                    VARCHAR2(20)
 PERSONAL_GREETING_ENABLED                          NUMBER(1)
 PERSONAL_GREETING_ON                               NUMBER(1)
